property,filename,source_path,reason,circle_score
aqualina-beach-club-luxury-condo,03.jpg,/Users/benjaminlegal/Documents/SXM-Invest/images/properties/aqualina-beach-club-luxury-condo/03.jpg,skip:circle_not_found,3.5
aqualina-beach-club-luxury-condo,23.jpg,/Users/benjaminlegal/Documents/SXM-Invest/images/properties/aqualina-beach-club-luxury-condo/23.jpg,skip:circle_not_found,2.1
aqualina-beach-club-luxury-condo,25.jpg,/Users/benjaminlegal/Documents/SXM-Invest/images/properties/aqualina-beach-club-luxury-condo/25.jpg,skip:circle_not_found,3.4
